Sentences,Aspect,Target,Polarity,Time
"
Banyak yg ngeluh staffnya ga profesional terlebih susternya tolong nih bagian manajemen manusianya ditrainingnya janhan asal lepas harus ada follow up, masa saya telpon diketusin. Apalagi suster icunya ga ramah. Poor service",Nurse,NULL,Negative,a year ago
"
Salah seorang Dokter Penyakit Dalam & Perawat di IGD JUDES (harus belajar manner dari OB & securitynya) & TIDAK BECUS KERJA, Jauh dari kata PROFESIONAL. kalau mau umur pendek silakan datang kesini.","Doctor, Nurse","NULL, Emergency Department","Negative, Negative",a year ago
"
rumah sakit umum yang melayani bpjs, ramai sekali sehingga harus datang lebih pagi agar antrean tidak terlalu banyak.",Waiting Time,NULL,Neutral,11 months ago
"
Pelayanannya lama banget.
Perawat dan dokternya kurang informatif. 
Pertanyaan seputar pasien dijawab dengan jutek.
Fasilitas kurang memadai dan kotor.","Waiting Time, Nurse, Doctor, Test&Examination, Cleanliness","NULL, NULL, NULL, NULL, NULL","Negative, Negative, Negative, Negative, Negative",10 months ago
"
Pas periksa darah untuk keperluan MCU, perawat pria di Gedung Bougenville salah suntik sehingga sampai sekarang tangan saya tetap sakit ketika mengangkat beban, meski kurang dari 5kg. Sangat mengecewakan..","Nurse, Test&Examination","Bougenville Building, Bougenville Building","Negative, Negative",a year ago
"
pelayanannya cukup baik, perawat dan staff RS ramah sekali, bersih, cukup rapi untk kelas rumah sakit pemerintahan","Nurse, Cleanliness","NULL, NULL","Positive, Positive",10 months ago
"
Rumah sakit untuk rujukan pusat nasional.",NULL,NULL,Positive,a week ago
"
RS nya lumayan besar dan banyak pasien BPJS disini.Lumayan lengkap pelayanan nya mulai dari Laboratorium,Radiologi sampai IGD.Parkir motor dan mobil nya lumayan luas juga bersebelahan sama kantin juga.Cuman satu sih kekurangan nya RS besar gak ada AC nya.Tapi kebantu sama banyak Pohon beserta taman yang ditata bagus ada tempat duduk nya juga.Membuat nyaman pengunjung sampe ada yang makan di rumput taman seperti orang sedang tamasya .","Test&Examination, Parking, Food","NULL, NULL, NULL","Positive, Positive, Positive",a year ago
"
Susah sekali dihubungi, Rscm aja lebih gampang dihubungi knp rsup fatmawati sangat susah,bgtu terhubung dioper sampe 15 menit lalu terputus ,,stengah jam buat telepon doang,, bagaimana ini pelayanannya masa kalah sama rscm","Receptionist&Billing, Waiting Time","Fatmawati Hospital, Fatmawati Hospital","Negative, Negative",a year ago
"
Pelayanan ramah",NULL,NULL,Positive,5 months ago
"
Antrian masuknya puanjang & lama, apalagi di IGDnya... tenaga dokter & perawatnya di IGD terbatas banget, harusnya squad di IGD diperbanyak shg nggak harus numpuk disana pasien2nya & segera dpt penanganan yg cepat & tepat",Waiting Time,Emergency Department,Negative,a year ago
"
Fasilitas memang lengkap tapi sayang pelayan suster admin reservasi dokter semua tanpa senyum ditambah dgn nada kasar punya cerita hari ini saya ambil obat krna suster yg bagian obat yg menyuruh saya ambil obat skrg sampailah saya pukul 07:00 sekalian ambil nomor antrian penyakit dalam untuk mamah saya critanya kita mau menunggu apotik nya buka mama saya nanya ko masih gelap apotiknya saya jawab belum buka mah eh gatau kenapa ada suster obat nyeletuk judes dan kasar isi celetukanya ( IYALAH BELUM BUKA ) SAMBILmukanya tengil dan buang muka .... Dimana sumpah dokter dimana sumpah suster ehhh rs. fatmawati pernah ga ngajarin suster dokternya dan staaf ramah murah senyum dan sopan mana 5S Nya koq ga diterapkan sama karyawanya .... 

Mau bayar cash atau bpjs tetap dilayanin dgn baik karna hak pasien mendapat semua itu 
Ini kan rumah sakit menggunakan nama ibu FATMAWATI hargai yg punya gelar nama jgn gara"" suster dokter n staaf fatmawati bakalan kena hujatan tolong diatur lagi sebab kemajuan rumah sakit ada ditangan pemimpin yg mau mendidik karyawanya ....","Test&Examination, Nurse, Receptionist&Billing, Doctor","Fatmawati Hospital, Fatmawati Hospital, Fatmawati Hospital, Fatmawati Hospital","Positive, Negative, Negative, Negative",a year ago
"
RSF lokasinya strategis, aksesnya mudah, fasilitasnya lengkap, lahan parkir sangat luas, masih banyak ditumbuhin pohon-pohon yang rindang sehingga lingkungan berasa sejuk, ada taman yang adem, kolam air mancur & tempat kuliner.
Pokoknya lebih betah di luar dari pada di ruangan yang bikin jenuh.
Mami sempat dirawat selama 11 hari dan ditempatkan di ruang inap kelas 2 padahal jatahnya di kelas 1, karena keluarga marah- marah barulah setelah beberapa hari baru dipindah ke kelas 1  tapi akhirnya mami ga tertolong, pelayanannya sangat buruk, menjengkelkan sekali.
2 pengalaman buruk menimpa keluarga ke duanya tidak tertolong.
Suster jaga hanya  2 untuk melayani sekian pasien, rs seperti ini kok dibilang tipe A.","Test&Examination, Parking, Food","NULL, NULL, NULL","Positive, Positive, Positive",a year ago
"
Kenapa pelayanan buruk sekali ya? Apa sudah sesuai SOP? Benar-benar parah. Padahal berobat TUNAI bukan pake BPJS di pelayanan yang eksekutif pula, tapi pelayanan ribet bertele-tele (di UGD juga bertele-tele) keburu yang berobat mati. Gimana yang pake BPJS kalo yang tunai aja bertele-tele. Petugas dan perawatnya ga banget, ketus, songong, ga ramah. Etika profesinya pada dikemanain? Seharusnya pekerjaannya jadi pekerjaan mulia, tapi karna attitude pekerjanya disebut mulia pun tidak pantas. Belum aja ngerasain apa yang dialami pasien.","Waiting Time, Nurse","NULL, NULL","Negative, Negative",11 months ago
"
Rumah sakit famawati paling bagus
Udh dua kali di rawat ramah dokter dan suster nya","Doctor, Nurse","Fatmawati Hospital, Fatmawati Hospital","Positive, Positive",10 months ago
"
Saudara masuk IGD zona merah, akhirnya meninggal juga, semoga khusnul khotimah, fasilitas lengkap pelayanan lumayan",Test&Examination,NULL,Positive,10 months ago
"
Sebaiknya pemanggilan pasien pada poliklinik dirubah sistem nomor , sehingga pasien bisa tahu dan lebih tertib",NULL,Polyclinic,Negative,10 months ago
"
Pelayanan tidak ramah,sangat buruk..jutek jutek juga bagian administrasi nya..
proses nya ribet..harus bolak balik antri sana sini...ga efektif dan ga efisien waktu...
Paraaaaaahhhhhhh bangt pokoknya...","Receptionist&Billing, Waiting Time","NULL, NULL","Negative, Negative",a year ago
"
Siang hari senin (27 Mei 2019) ada demo karyawan RSUP.

Disebabkan berkurangnya THR.

Mereka kecewa thd Dirut RSUP Fatmawati.",NULL,Fatmawati Hospital,Negative,a year ago
"
Karyawan kuli gw Tanya sopan malah disasarin. Mudah mudahan jadi tambah kuli",NULL,NULL,Negative,10 months ago
"
Pada saat pendaftaran sering terjadi eror...pasien daftar antreee sampai ratusan orang.penjelasan dr informasi selalu dr BPJS pusat yg koneksi internetnya eror...","Receptionist&Billing, Waiting Time","NULL, NULL","Negative, Negative",a year ago
"
Selamat sore, ada berapa dokter jaga untuk di ugd zona hijau? Apakah pasien ugd zona hijau dianggap sepele? Saya sudah bersabar untuk antri, di saat saya mengantri tiba2 ada pasien lain yg baru datang dan langsung diberi tindakan, saya duluan loh yang datang kenapa mesti diselak? Apa karena saya tdk punya kerabat di rs ini? Tolong untuk lebih diperhatikan urutan antrian yg sebenarnya. Pasien ugd zona hijau pun menurut saya tdk bs disepelekan seperti itu saja, mereka jg butuh tindakan secepetnya makanya pilih ke ugd! Terima kasih",Waiting Time,Emergecy Unit,Negative,a year ago
"
pelayanannya tidak bagus, saya bingung kenapa suster dokter dan orang orang yang kerja di sini tidak ramah, selalu marah marah dan tidak merespon para pasien yang akan periksa dengan baik. Tempatnya sangat ramai super duper ramai, petugas adminisntrasi teriak teriak tidak ramah dan menyuruh orang untuk tidak berdiri di depan meja dan berteriak menyuruh duduk padahal kondisi tempat duduk sangat penuh alhasil banyak orang yang duduk di lantai, karena pasien super duper banyak jgn harap selesai cepat harus bersabar dan mungkin akan selesai 4-5 jam, jujur agak kecewa","Nurse, Doctor, Receptionist&Billing, Waiting Time","NULL, NULL, NULL, NULL","Negative, Negative, Negative, Negative",10 months ago
"
Tolong perawat dan dokter senior nya sopan dn santun senyum dengan pasien layani dengan baik dgan setulus hati sama kan pasien BPJS dgan pasien byar KES","Nurse, Doctor","NULL, NULL","Negative, Negative",a year ago
"
Seharusnya bukan Fatmawati tapi FatwaMATI. Setiap pasien yang masuk kesini dijamin MATI. Buruk semua service dokter dan susternya.","Doctor, Nurse","Fatmawati Hospital, Fatmawati Hospital","Negative, Negative",a year ago
"
SEMUA PEGAWAI yang bekerja di RSUP FATMAWATI JAKARTA SELATAN Harus lebih banyak belajar tentang ahlak",NULL,Fatmawati Hospital South Jakarta,Negative,11 months ago
"
Dokternya judes, karyawan adm judes, susteer nanya dikit dibentak pasienya, telfon ga pernah bisa dihubungi dengan baik. Bener2 rumah sakit terburuk dijkarta","Doctor, Receptionist&Billing, Nurse","NULL, NULL, NULL","Negative, Negative, Negative",a year ago
"
Urusan medis dan kesehatan.... disini",NULL,NULL,Positive,4 months ago
"
kok dicoba semua notel, operatornya tidak ada yg jawab ya. Bahkan notel Griya Husada yang konon kategori eksekutif pun tidak ada operator telponnya yang jawab. Lelah mencoba berkali2 dari pagi....","Receptionist&Billing, Waiting Time","NULL, NULL","Negative, Negative",a year ago
"
Rumah sakit ini sangat luas. Di dalamnya ada beberapa gedung dengan nama-nama tertentu. Juga ada taman yang bisa digunakan sebagai tempat bersantai. Tersedia juga beberapa rumah makan. Ada masjid juga di sini. Untuk parkir motor agak sulit mencari yang kosong, karena biasanya selalu penuh. Tarif parkir motor 2.000 untuk satu jam pertama, 1.000 untuk kelipatan satu jam berikutnya.","Food, Parking","NULL, NULL","Positive, Negative",a year ago
"
Parkir oke",Parking,NULL,Positive,6 months ago
"
Maaf sebelumnya Sangat perlu ditingkatkan pelayanannya,masa rumah sakit negara kalah dengan rumah sakit swasta,saya kalo tidak karena rujukan,tidak akan memilih rumah sakit ini...sangat tidak baik pelayanan nya,memang tidak semua karyawan tidak baik,tapi kebanyakan mereka kurang memberi contoh ,kalo mereka pelayan masyarakat",NULL,NULL,Negative,a year ago
"
Rumah sakit terlengkap",NULL,NULL,Positive,a day ago
"
Satpam a.n SYARIFUDIN gd Anggrek lantai 3 sangat tidak sopan dan tidak ramah dalam menegur keluarga pasien saat jam besuk berlangsung...mohon diperbaiki pelayanannya",NULL,3rd Floor Anggrek Building,Negative,a year ago
"
Fasilitasnya lengkap, letaknya sangat strategis mudah terlihat dari jalan raya, tersedia kantin juga","Test&Examination, Food","NULL, NULL","Positive, Positive",10 months ago
"
Pelayanan di ugd cukup cepat tanggap, pelayanan hemodialisa ramah,  tempat pelayanan juga bersih dan rapih,  namun pelayanan di HCU perlu di tingkatkan, lebih baik perawat di beri ruangan khusus agar saat bercengkrama membahas urusan pribadi tidak menganggu pasien yang butuh perawatan dan waktu istirahat yang intensif..  Dan harap rasa empati bagi para perawat untuk lebih di tingkat kan","Waiting Time, Cleanliness, Nurse","Emergency Unit, NULL, NULL","Positive, Positive, Negative",a year ago
"
Pelayanan staff rumah sakit sangat Buruk. Emeegemcy yang seharusnya di layani dengan cepat tanggap, malah tidak ada respon cepat atau sangat lama. 

Ketika ditanya ke petugas lain, mereka bilang : ""ditunggu aja, nanti juga ada kok dokter jaganya"", pernyataan yang bodoh !!!!!!!",Waiting Time,NULL,Negative,a year ago
"
polibedah vaskular cukup lama dokternya,di tunggu dari 9 pagi sampai 14.00 blm datang juga,minta tolong buat perbaiki sistem kerjanya.kasian pasien.","Waiting Time, Doctor","Poly Vascular Surgery, Poly Vascular Surgery","Negative, Negative",a year ago
"
Dokter ya jutek, kayak gk niat meriksa, terkesan buru"".
Pelayanan di hampir semua loket/informasi/bagian pendaftaran kurang ramah.
Nunggu obat aja sampai 3jam lebih.","Doctor, Test&Examination, Receptionist&Billing, Waiting Time","NULL, NULL, NULL, Pharmacy","Negative, Negative, Negative, Negative",a year ago
"
Proses pendaftaran utk tes bebas narkoba dan jasmani tidak terlalu lama. Tapi tetap melihat jumlah pendaftarnya juga. Jika banyak maka proses pendaftaran sampai hasil tesnya akan lama","Receptionist&Billing, Waiting Time","NULL, NULL","Positive, Neutral",a year ago
"
Pelayanan buruk.",NULL,NULL,Negative,6 months ago
"
Lelet bin lemot bin bolot. Kurang professional terlalu menyepelekan pasien.

Cuma mo daftar ja butuh waktu seharian, itu baru daftar. 

Hari berikutnya minta jadwalin dokter praktek seharian juga, dpt jadwal 1bln kemudian.

Ketemu dokter ditanya bla.. bla..bla..ok..!! ""nanti balik lg ke tukang jadwal buat jadwalin test radiology, darah, jantung anastesi ya"" 

Dapat jadwal radiology Dan test darah 3 minggu kemudian (hasil test nya bisa diambil 3minggu lg utk radiology dan hasil test darah 1bln kmdian.)

Rekam jantung 1 bln kemudian....  

@$_""........_@%.......<%}%^.......{=``[}..........{{ 

keburu matiiii","Waiting Time, Receptionist&Billing, Test&Examination","NULL, NULL, NULL","Negative, Negative, Negative",a year ago
"
RSUP FATMAWATI adalah Rumah sakit milik pemerintah tipe A (terbesar dan terkomplit) kalau segi pelayanan sesuai standar rumah sakit pemerintah dan jangan berharap lebih beda dengan rumah sakit swasta, saya kesini karena rujukan dari rumah sakit daerah. Semoga pelayanannya semakin meningkat.",NULL,Fatmawati Hospital,Positive,a year ago
"
Ibu teman saya masuk rumah sakit ini dirawat di gedung teratai Lantai 5 untuk perawatan Diabetes.......97% suster dan perawat yang ada di Lantai 5 kasar dan tidak ramah sama sekali, marah marah ke pada keluarga penunggu seperti hal wajar bagi suster suster ini mentang mentang  kami dari BPJS.......hal paling parah adalah ketika ingin pindah rumah sakit agar lebih dekat dari rumah untuk cuci darah sampai diusir oleh para suster suster ini yang mana seharusnya tidak boleh pindah sampai dapat rumah sakit untuk cuci darah berikutnya......tidak ada pembekalan materi mengenai surat yang perlu diurus untuk agar mempermudah proses pemindahan sehingga membuat kami bolak balik ke sana kemari......
SUNGGUH PENGALAMAN YANG LUAR BIASA DARI RS FATMAWATI GEDUNG TERATAI LANTAI 5","Nurse, Receptionist&Billing","Fatmawati Hospital, Fatmawati Hospital","Negative, Negative",a year ago
"
Anak saya dirawat hampir 1 bulan awal penyakit diare dibolehkan pulang tapi 1 satu yg di sembunyikan ternyata anak saya jadi sering kejang2 30 mnit 4 x alhasil balik lagi",Test&Examination,NULL,Negative,a year ago
"
baru kemaren abis dari situ bawa kuli saya yg kecelakaan kerja kena mesin potong kayu jarinya ilang, darah udh berceceran kemana mana dari jam 2siang sampai jam 7malam belum ditanganin prosessnya lama bgt, padahal bayar tunai juga ( karna saya juga tau bisa kalo pake bpjs suka ogah ogahan layaninnya dan emg kebeneran kuli saya ga punya pbjs) tapi ko masyallah penanganannya masa rontgen aja sampe 4 jam?yg di tanganin cuman itu doang sama di kasih obat minum dan kita katanya harus nunggu dokternya lagi sampe jam 12 malem? dan tu temen saya ga di apa apain,  orang mah perbanin kek kasih bersihin dulu kek apa kalo kena kuman ntar temen saya malah di amputasi mau tanggung jawab rs nya? sumpah pelayanannya buruk sekali. sampai membuat saya kesal dan akhirnya mencari rs suwasta yg bisa melayani dgn cepat.",Waiting Time,NULL,Negative,2 years ago
"
Pelayanan lama kalo orang sakit bisa keburu pingsan",Waiting Time,NULL,Negative,9 months ago
"
Semua bisa tertangani dengan baik, hanya butuh kesabaran karena pasien yang dilayani banyak dengan berbagai kondisi, rujukan dari banyak RS dengan sistem pembayaran BPJS jumlah staff yang sedikit",Waiting Time,NULL,Negative,a year ago
"
Kesini jenguk teman...kata nya alat medis disini komplit....tapi ruang inap teratai nya kurang bagus....seperti bangunan lama...dan kurang nyaman juga",Test&Examination,NULL,Positive,a year ago
"
Perawatnya amatir semua? Ga ada profesionalitasnya sama sekali,kebanyakan bercandanya. Satu2 pekerja yang bener dan bisa diandelin cuma cleaning servicenya aja.",Nurse,NULL,Negative,a year ago
"
Barusan ke IGD karena betis kaki pacar saya sakit, susah jalan pas turun dari boat di Bali. Saya takut krn masalah blood vesselnya krn kakinya bbrp mgu lalu bermasalah jalan krn stroke ringan. Tapi dokternya hanya kasih diagnosa dengan liat dari jauh, tanpa cek dari dekat. Uda langsung dari airport ke sini, nunggu lama, tapi dilayani seperti ini. Nyesel banget deh ke sini!!!","Doctor, Test&Examination, Waiting Time","Emergency Department, Emergency Department, Emergency Department","Negative, Negative, Negative",2 years ago
"
Pelayanan farmasi rawat jalannya lemot lelet saya kasih resep jam 11, sampe jam 1 belum jadi juga, udah ga tahan nahan sakit abis di bedah mulut.",Waiting Time,Pharmacy,Negative,a year ago
"
Ciri khas rumah sakit pemerintah, lambat pelayanannya. Mending di rumah sakit swasta saja deh, mahal sedikit kualitas layanan prima. Bye bye. Cukup sekian dan terima gaji.","Waiting Time, Cost","NULL, NULL","Negative, Positive",a year ago
"
Saya antri di IGD 3 jam belum di panggil juga",Waiting Time,Emergency Department,Negative,9 months ago
"
Rumah sakit ini memberikan pelayanan kedokteran spesialis dan subspesialis serta ditetapkan sebagai rujukan tertinggi oleh pemerintah.

Jumlah dokter yang teredia dirumah sakit ini termasuk besar dan ruangan tempat tudur inap yang tersedia hingga 536 menjadikan rumah sakit ini termasuk besar.",Doctor,NULL,Positive,a year ago
"
RSUD ini fasilitasnya cukup lengkap untuk semua persyaratan rumah sakit daerah Jaksel yg melayani masyarakat sekitarnya",Test&Examination,NULL,Positive,a year ago
"
Pelayananye parah. Mentang2 pake BPJS, kebanyakan di cuekin. Sekuritiny gayany kebanyakan pd ky jagoan. Songong. Kerja banyak yg ga sesuai sama SOP. Ngasih informasi ke pasien aj ga singkron antara perawat 1 sama yg laen. Farmasi kerjany lelet. 20 orang lebih nungguin obat doang sampe berjam2. Pas di tanya ternyata obatny udh di titipin trus yg nitipin juga tolol ga ad tanggung jawabny tau2 kabur tanpa kasih kabar. Question. Yg salah ini kebanyakan pelayanan di rumah sakit yg bayar pake BPJS emang di perlakukan selalu begitu atau emang udh tabiat para pekerja di rumah sakit begitu semua sih? Cape kali y kerja dirumah sakit? Resign goblok. Orang hidup semua cape. Orang mati aj cape. Jarang banget liat perawat atau dokter senyum sama pasien atau keluarga pasien. Padahal kerja di bidang pelayanan. Kalo pelayanany begitu terus sih, tinggal nunggu bangkrut doang aj udh. Setiap kali ke rumah sakit. Padahal di awal udh bae2 nanya pake senyum. Dibalesny ketus. Nanya sopan2, jawabny ga enakin. Kalo ga pake gebrak2, ga bakal di layanin. Mauny apaan sih?","Waiting Time, Nurse, Doctor","NULL, NULL, NULL","Negative, Negative, Negative",2 years ago
"
Tidak memuaskan pelayananannya data saya sama istri daftar bareng ko selisih urutannya jauh pe'a juga pelayanannya di pendaftaran poliklinik penyakit dalam ",Receptionist&Billing,Poly Internal,Negative,a year ago
"
pasien BPJS selalu di persulit dan di perlambat dan di belakangkan",Waiting Time,NULL,Negative,8 months ago
"
Kecewa dengan perawatannya... Non solusi.",NULL,NULL,Negative,5 months ago
"
Hanya saran saja... Tolong untuk perawat bisa lebih ramah lagi
...",Nurse,NULL,Negative,a year ago
"
Tolong perawat yg diruang poli ngak usah judes kalau melayani pasien.. saya kecewa saya jauh2 dr sumatera mintak rujukan biar cpat ditanganin ibu saya disini.. dpat ny dibentak2 terus..",Nurse,NULL,Negative,2 years ago
"
Kalau mau rawat inap kadang kamar dibilang penuh oleh bag kelas rawat nya misal kelas 2 atau kelas 1, ga tau mksdny apah?nunggu kamar kosong sementara ditampung di IGD ternyata setelah msk kamar sesuai kelas Bpjs ternyata kamar/tempat tdr ada yg kosong sampe 1 or 3 kamar info dr org or krluarga pasien yg sdh msk dikamar tsb. Miris disaat kita antri panjang sesuai prosedur n memerlukan perawatan rawat inap kamar dinyatakan penuh trs. Perlu ada pengawasan lgsg hrsny bnr ga dikroscek kamar tsb terisi or penuh. Jgn kosong dibilang penuh kasian pasien yg butuh perawatan intensif seperti kamar rawat inap krn dr proses kita lanjut rawat inap utk memesan kamar ke bag pendaftaran kamar itu nunggu nya lumayan lama berjam-jam kan jenuh","Receptionist&Billing, Waiting Time","NULL, NULL","Negative, Negative",2 years ago
"
Ke RS ini untuk membesuk saudara yang rawat inap di gedung Anggrek. Susternya cukup ramah, kamar inap nya untuk yg di gedung Anggrek bagus, lokasi RS ini juga strategis, mudah ditemukan dari pinggir jalan besar.",Nurse,Anggrek Building,Positive,a year ago
"
rata2 komennya bad. di up dong eskalasi langsung",NULL,NULL,Negative,9 months ago
"
RSUP ini pelayanan kurang baik, no senyum, no ramah, dan no perhatian dari segi pelayanan pada pasien.and yes serba apatis orangnya, ayo kalian pasti bisa berubah berangkat kejiwa sosial anda pada masyarakat, agar menjadi contoh terbaik dalam pelayanan anda pada masyarakat. Agar rs fatmawati menjadi lbih baik lagi.",NULL,Fatmawati Hospital,Negative,2 years ago
"
Pelayanan BPJS di rumah sakit ini ok. Mama alhamdulillah cepat ditangani dengan baik walaupun BPJS dan langsung dapat kamar. Susternya baik-baik serta menjelaskan prosesnya. Setiap penebusan obat dan lain-lain suster memberikan arahan untuk tahapan-tahapannya sehingga memudahkan. Jangan malu bertanya dan sigap ketika menjadi pasien bpjs mengingat memang banyaknya tahapan tetapi sangat bermanfaat. Operasi mama apabila cash dapat menghabiskan 2 digit di muka dengan 6 nol dibelakang dengan BPJS semua ditanggung negara. Syaratnya hanya sabar dalam menjalankan prosesnya tiap-tiap tahapannya serta ikhlas krn orqng tua sendiri. Terima kasih Rs. Fatmawati.","Waiting Time, Nurse, Cost","Fatmawati Hospital, Fatmawati Hospital, Fatmawati Hospital","Positive, Positive, Positive",2 years ago
"
Ruang tunggunya bad:(",NULL,NULL,Negative,8 months ago
"
Kecewa banget sama ni rumah sakit, keluarga pasien rawat inap harus antri obatat,cairan infus dll untuk keperluan pasien. Kenapa tidak di siapkan langsung oleh perawatnya rumah sakit ini, bagai mana bila pasien harus cepat membutuhkan itu obat dan pasyen masih menunggu dulu antrian untuk mendapatkan obat.",Nurse,NULL,Negative,2 years ago
"
Ada taman untuk duduk bersantai, ada kolam dengan air mancur, tidak mengesan kan rumah sakit pd umum nya",NULL,NULL,Positive,a year ago
"
Rumah sakit sarang selingkuh.......",NULL,NULL,Negative,7 months ago
"
Pelayanan bener2 parah sumpah!!
Hari ini tgl 27 keluarga saya ke rs fatawati dari rs cipto, untuk operasi mata mama saya, kondisi mata mama saya sudah semakin parah

Dan apa yg dilakukan oleh para asisten rs, mereka tidak mau operasi mata mama saya dan keluarga saya malah dimaki-maki.. maksud nya apa!?

Sblmnya mama saya dikasih softlens khusus dari dokter sebelumnya karena utk mencegah agar tidak bocor, dri fatmawati blng tdk boleh harus dicabut..

Nah.. kakak saya bilang klo dicabut sekarang (rs fatmawati) dokter mw tanggung jawab gk, dan dia berkata ""ya enggak lah""

Pelayanan macam apa itu??",Doctor,Fatmawati Hospital,Negative,2 years ago
"
Parah pelayanannya kagak satpam kagak suster sama aja kalo ditanya jawabnya selalu judes. Kita tanya baik baik mereka jawabnya nyolot, bener bener nggak bagus nggak sesuai sama tujuan rumah sakit. Orang yang dirawat disini bukannya sembuh yang ada malah tambah stress ngeliat pelayanan dirumah sakit ini.",Nurse,NULL,Negative,2 years ago
"
Mantul wilayah nya",NULL,NULL,Positive,a year ago
"
Lokasi strategis, fasilitas lengkap, kemudahan akses transportasi dan dekat dengan tempat belanja kebutuhan sehari hari.",Test&Examination,NULL,Positive,a year ago
"
Jangan pake bpjs dah kalo berobat disini, muka nya pada judes semua kalo pake bpjs",NULL,NULL,Negative,a year ago
"
Salah satu RS pemerintah rujukan nasional dgn pelayanan yg cukup baik,pengalaman sy melakukan rawat jalan dan operasi alhamdulillah lancar tdk dipersulit,walaupun agak lama tp mmg sudah prosedurnya menggunakan bpjs seperti itu,intinya.hrs sabar sih..blm lg dgn jdwl dokternya yg kdg ga dtg,jd segala tindakan hrs nunggu domter spesialis seniornya,tp utk dokter yg muda2nya jg bagus koq ga pelit informasi,perawatnya baik2,kantinnya juga bersih,ga susah cari makan disini..lokasinya jg cukup strategis kl keluar dr jalan tol.","Waiting Time, Doctor, Nurse, Cleanliness, Food","NULL, NULL, NULL, Canteen, NULL","Negative, Neutral, Positive, Positive, Positive",2 years ago
"
Perawat-perawat disini tidak ramah. Banyak yang jutek, judes, dan seperti meremehkan pasien. Banyak perawat yang menganggap pasien seakan-akan sepele. Saat ditanya, dijawab dengan nada seperti kesal atau marah2 terus.",Nurse,NULL,Negative,a year ago
"
Satpam nya kaya jagoan...dokter dan suster ga pernah senyum
..apa karena BPJS....","Doctor, Nurse","NULL, NULL","Negative, Negative",a year ago
"
Untuk penjengukan sangat buruk kami baru pulang kerja jam 08.00 dan baru sempat untuk jenguk teman saya yang lagi sakit di lt.5 kamar 524 saya tahu jam besuk sudah habis tapi saya sudah minta tolong sama penjaganya ijinkan saya untuk besuk teman saya cuma sebentar 5 menit, tapi penjaganya tetap menolak walaupun saya mau tinggalkan ktp saya.. Mohon untuk pengurus rsup fatmawati kasih kebijakan untuk orang yang ingin menjenguknya anda tidak tahu kalau saya pulang kerja ingin jenguk teman saya jauh"" tapi malah ga bisa ketemu.",NULL,Fatmawati Hospital,Negative,2 years ago
"
Bagus , susternya baik dan tegas bukan galak , dokter nya juga menyapa pasien dan keluarga pasien juga baik memberikan solusi yang terbaik untuk kesembuhan pasien nya . Makin banyak deh rumah sakit kaya gini","Nurse, Doctor","NULL, NULL","Positive, Positive",2 years ago
"
Penuh sekali",NULL,NULL,Negative,10 months ago
"
Pemanfaatan sistem IT nya ga optimal, waktu tunggu lama antara lain disebabkan staff hrs melakukan pencarian arsip manual",Waiting Time,NULL,Negative,a year ago
"
Parahhhh pelayanan nya,saya baru sekali ke RS Fatmawati ini saya nanya petugasnya males2an jawabnya...gk ada senyum sedikitpun,saya nunggu Ibu saya lama bgt gk di pangil2 ngantri dari jam 8 pagi yg di duluin malah pasien yg dateng jam 9.30,ternyata berkas ibu saya tersangkut di pendaftaran yg dekat Toilet... bingung saya,petugas rs ini maunya apa coba,SAYA SANGAT KECEWA... TERIMA KASIH","Waiting Time, Receptionist&Billing","Fatmawati Hospital, Fatmawati Hospital","Negative, Negative",2 years ago
"
Pelayanan baik, kalau untuk pasien BPJS Kesehatan banyak antriannya.",Waiting Time,NULL,Negative,11 months ago
"
Bersih terawat pasilitasnya lengkap, paramedisnya ramah cuma yg menggunakan asuransi lama banget antrinya","Cleanliness, Test&Examination, Doctor, Nurse, Waiting Time","NULL, NULL, NULL, NULL, NULL","Positive, Positive, Positive, Positive, Negative",a year ago
"
Tempatnya lumayan bagus,tetapi untuk pelayanannya kurang baik untuk bpjs,4 thn lalu daya membawa ayahanda ke sini,susternya ditanya masih ada ruang rawat inap malah menjawab memang saya petugas kamar itu membuat ibu, saya, terdiam.saat mlam disaat terakhir ayah saya,sekeluarga hendak meluhat sebntar dngan syart satu orang.pas terakhir adik terkecil ingin bertemu ayah dijaga dengan kedua tngan sechuriti tpi saya memaksa masuk.tolong pelayanannya ditingkatkan lagi.kurang lebihnya saya minta maaf dan terimakasih.",Nurse,NULL,Negative,2 years ago
"
Donor darah...",NULL,NULL,Neutral,8 months ago
"
hanya me-review tidak untuk menjatuhkan;
rumah sakitnya luas, lahan parkirnya ok. pusat informasi ada, hanya saja petugas/suster kurang ramah dalam pelayanan, dan untuk pengambilan obat lambat sekali pelayanannya;(","Parking, Nurse, Waiting Time","NULL, NULL, Pharmacy","Positive, Negative, Negative",2 years ago
"
Sebelum berangkat rasa sabarnya di pertebal ya pak/Bu,apa lgi pas waktu ambil obat di farmasi.7 lapis kalau perlu",Waiting Time,Pharmacy,Negative,a year ago
